date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:44:02	70/70	---MCZ	200	added ('OK')	text/plain	etag:W/%2242ddbcf48fa62211eef6637a02bda0a4%22	https://www.weblfg.com/robots.txt		(from )
14:44:02	126083/126083	---MCZ	200	added ('OK')	text/html	date:Sat,%2025%20Mar%202023%2019:44:01%20GMT	https://www.weblfg.com/	D:/Snokido/WebLFG%20(UBG100)/www.weblfg.com/index.html	(from )
14:44:02	13088/13088	---M--	200	added ('OK')	image/png	etag:%225f37f487b118526cca34e6126f282bbc%22	https://www.weblfg.com/favicon/apple-touch-icon.png	D:/Snokido/WebLFG%20(UBG100)/www.weblfg.com/favicon/apple-touch-icon.png	(from https://www.weblfg.com/)
14:44:02	1485/1485	---M--	200	added ('OK')	image/png	etag:%2217e1b76fae32bf13d5d30640eb96e8c1%22	https://www.weblfg.com/favicon/favicon-32x32.png	D:/Snokido/WebLFG%20(UBG100)/www.weblfg.com/favicon/favicon-32x32.png	(from https://www.weblfg.com/)
14:44:03	633/633	---M--	200	added ('OK')	image/png	etag:%226c0292cfcb63f932d543b49190107739%22	https://www.weblfg.com/favicon/favicon-16x16.png	D:/Snokido/WebLFG%20(UBG100)/www.weblfg.com/favicon/favicon-16x16.png	(from https://www.weblfg.com/)
14:44:03	388/388	---MCZ	200	added ('OK')	application/manifest+json	etag:W/%2238925c95b60710847484e2b69e4d10d2%22	https://www.weblfg.com/favicon/site.webmanifest	D:/Snokido/WebLFG%20(UBG100)/www.weblfg.com/favicon/site.webmanifest	(from https://www.weblfg.com/)
14:44:03	204937/204937	---M--	200	added ('OK')	image/png	etag:%22daf3f61621ea450ea89002be12e232ee%22	https://www.weblfg.com/img/preview.png	D:/Snokido/WebLFG%20(UBG100)/www.weblfg.com/img/preview.png	(from https://www.weblfg.com/)
14:44:03	5264/5264	---M-Z	200	added ('OK')	text/css	etag:W/%22633c56f1-1490%22	https://rsms.me/inter/inter.css	D:/Snokido/WebLFG%20(UBG100)/rsms.me/inter/inter.css	(from https://www.weblfg.com/)
14:44:04	38199/38199	---MCZ	200	added ('OK')	text/css	etag:W/%223c02a9008c1d388f9ede2213a689c7c9%22	https://www.weblfg.com/_next/static/css/b0833af0e56e2aca.css	D:/Snokido/WebLFG%20(UBG100)/www.weblfg.com/_next/static/css/b0833af0e56e2aca.css	(from https://www.weblfg.com/)
14:44:04	91461/91461	---MCZ	200	added ('OK')	application/javascript	etag:W/%2240ccea369337cec877151c906f22814d%22	https://www.weblfg.com/_next/static/chunks/polyfills-0d1b80a048d4787e.js	D:/Snokido/WebLFG%20(UBG100)/www.weblfg.com/_next/static/chunks/polyfills-0d1b80a048d4787e.js	(from https://www.weblfg.com/)
14:44:04	3625/3625	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e4a3344ed1b2cdb9b9f54f394bf1caf%22	https://www.weblfg.com/_next/static/chunks/webpack-8dc9c79131e44fa3.js	D:/Snokido/WebLFG%20(UBG100)/www.weblfg.com/_next/static/chunks/webpack-8dc9c79131e44fa3.js	(from https://www.weblfg.com/)
14:44:04	140508/140508	---MCZ	200	added ('OK')	application/javascript	etag:W/%2223f00b44b46c33b247bc1a688807dd0c%22	https://www.weblfg.com/_next/static/chunks/framework-ae4f43955bfa5ddc.js	D:/Snokido/WebLFG%20(UBG100)/www.weblfg.com/_next/static/chunks/framework-ae4f43955bfa5ddc.js	(from https://www.weblfg.com/)
14:44:04	106453/106453	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e6a26f743f6a0dff40c97cef6e4ec36b%22	https://www.weblfg.com/_next/static/chunks/main-1ab6d2778152c4f4.js	D:/Snokido/WebLFG%20(UBG100)/www.weblfg.com/_next/static/chunks/main-1ab6d2778152c4f4.js	(from https://www.weblfg.com/)
14:44:05	173385/173385	---MCZ	200	added ('OK')	application/javascript	etag:W/%2299bdf6c09c120d02add4fc600fbcf582%22	https://www.weblfg.com/_next/static/chunks/pages/_app-7e51bcba9e881b47.js	D:/Snokido/WebLFG%20(UBG100)/www.weblfg.com/_next/static/chunks/pages/_app-7e51bcba9e881b47.js	(from https://www.weblfg.com/)
14:44:05	14947/14947	---MCZ	200	added ('OK')	application/javascript	etag:W/%221e46dcffe24510260eaa5e56af68c05c%22	https://www.weblfg.com/_next/static/chunks/669-edd89607995da6b5.js	D:/Snokido/WebLFG%20(UBG100)/www.weblfg.com/_next/static/chunks/669-edd89607995da6b5.js	(from https://www.weblfg.com/)
14:44:05	85287/85287	---MCZ	200	added ('OK')	application/javascript	etag:W/%22590eebff248f1f8310cedd0cd9c217ca%22	https://www.weblfg.com/_next/static/chunks/500-51e57ab9049d81d9.js	D:/Snokido/WebLFG%20(UBG100)/www.weblfg.com/_next/static/chunks/500-51e57ab9049d81d9.js	(from https://www.weblfg.com/)
14:44:05	21029/21029	---MCZ	200	added ('OK')	application/javascript	etag:W/%222588d643df7f41dd34279e93bf91698c%22	https://www.weblfg.com/_next/static/chunks/pages/index-88fb950e5c6552dd.js	D:/Snokido/WebLFG%20(UBG100)/www.weblfg.com/_next/static/chunks/pages/index-88fb950e5c6552dd.js	(from https://www.weblfg.com/)
14:44:05	1476/1476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22008c341ef4597a2e5c9cd3ec46ca41e0%22	https://www.weblfg.com/_next/static/8MEpOClOA-3VndUU9OuTi/_buildManifest.js	D:/Snokido/WebLFG%20(UBG100)/www.weblfg.com/_next/static/8MEpOClOA-3VndUU9OuTi/_buildManifest.js	(from https://www.weblfg.com/)
14:44:06	76/76	---MCZ	200	added ('OK')	application/javascript	etag:W/%225352cb582146311d1540f6075d1f265e%22	https://www.weblfg.com/_next/static/8MEpOClOA-3VndUU9OuTi/_ssgManifest.js	D:/Snokido/WebLFG%20(UBG100)/www.weblfg.com/_next/static/8MEpOClOA-3VndUU9OuTi/_ssgManifest.js	(from https://www.weblfg.com/)
14:44:06	30845/30845	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Mar%202023%2022:37:18%20GMT	https://www.weblfg.com/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Fweblfg.898131ca.png&w=1080&q=75	D:/Snokido/WebLFG%20(UBG100)/www.weblfg.com/_next/weblfg7372.png	(from https://www.weblfg.com/)
14:44:06	9467/9467	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Mar%202023%2016:55:35%20GMT	https://www.weblfg.com/_next/image?url=%2Fimg%2Fpartners%2Fradon.png&w=3840&q=75	D:/Snokido/WebLFG%20(UBG100)/www.weblfg.com/_next/radon2e42.png	(from https://www.weblfg.com/)
14:44:06	9508/9508	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Mar%202023%2016:25:06%20GMT	https://www.weblfg.com/_next/image?url=%2Fimg%2Fpartners%2Faerial.png&w=3840&q=75	D:/Snokido/WebLFG%20(UBG100)/www.weblfg.com/_next/aeriala2a2.png	(from https://www.weblfg.com/)
14:44:07	16600/16600	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Mar%202023%2022:42:28%20GMT	https://www.weblfg.com/_next/image?url=%2Fimg%2Fpartners%2Firunblocked.png&w=3840&q=75	D:/Snokido/WebLFG%20(UBG100)/www.weblfg.com/_next/irunblocked38c0.png	(from https://www.weblfg.com/)
14:44:07	866920/866920	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Mar%202023%2008:41:40%20GMT	https://www.weblfg.com/_next/image?url=%2Fimg%2Fpartners%2Fkazwire.png&w=3840&q=75	D:/Snokido/WebLFG%20(UBG100)/www.weblfg.com/_next/kazwireb8fd.png	(from https://www.weblfg.com/)
14:44:07	13433/13433	---M--	200	added ('OK')	image/png	date:Fri,%2017%20Mar%202023%2012:57:36%20GMT	https://www.weblfg.com/_next/image?url=%2Fimg%2Fpartners%2Fphantomgames.png&w=3840&q=75	D:/Snokido/WebLFG%20(UBG100)/www.weblfg.com/_next/phantomgamesa274.png	(from https://www.weblfg.com/)
14:44:07	101383/101383	---M--	200	added ('OK')	image/gif	date:Mon,%2013%20Mar%202023%2004:36:52%20GMT	https://www.weblfg.com/_next/image?url=%2Fimg%2Fpartners%2Fpartner.gif&w=3840&q=75	D:/Snokido/WebLFG%20(UBG100)/www.weblfg.com/_next/partner1bd8.gif	(from https://www.weblfg.com/)
14:44:08	4687/4687	---MCZ	200	added ('OK')	text/html	date:Sat,%2025%20Mar%202023%2019:44:07%20GMT	https://www.weblfg.com/cdn-cgi/l/email-protection	D:/Snokido/WebLFG%20(UBG100)/www.weblfg.com/cdn-cgi/l/email-protection.html	(from https://www.weblfg.com/)
14:44:08	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%226419a395-4d7%22	https://www.weblfg.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	D:/Snokido/WebLFG%20(UBG100)/www.weblfg.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://www.weblfg.com/)
14:44:08	99632/99632	---M--	200	added ('OK')	font/woff2	etag:%22633c56ed-18530%22	https://rsms.me/inter/font-files/Inter-Thin.woff2?v=3.19	D:/Snokido/WebLFG%20(UBG100)/rsms.me/inter/font-files/Inter-Thin3535.woff2	(from https://rsms.me/inter/inter.css)
14:44:08	106496/106496	---M--	200	added ('OK')	font/woff2	etag:%22633c56ed-1a000%22	https://rsms.me/inter/font-files/Inter-ThinItalic.woff2?v=3.19	D:/Snokido/WebLFG%20(UBG100)/rsms.me/inter/font-files/Inter-ThinItalic3535.woff2	(from https://rsms.me/inter/inter.css)
14:44:09	104232/104232	---M--	200	added ('OK')	font/woff2	etag:%22633c56ed-19728%22	https://rsms.me/inter/font-files/Inter-ExtraLight.woff2?v=3.19	D:/Snokido/WebLFG%20(UBG100)/rsms.me/inter/font-files/Inter-ExtraLight3535.woff2	(from https://rsms.me/inter/inter.css)
14:44:09	111392/111392	---M--	200	added ('OK')	font/woff2	etag:%22633c56ed-1b320%22	https://rsms.me/inter/font-files/Inter-ExtraLightItalic.woff2?v=3.19	D:/Snokido/WebLFG%20(UBG100)/rsms.me/inter/font-files/Inter-ExtraLightItalic3535.woff2	(from https://rsms.me/inter/inter.css)
14:44:09	104332/104332	---M--	200	added ('OK')	font/woff2	etag:%22633c56ed-1978c%22	https://rsms.me/inter/font-files/Inter-Light.woff2?v=3.19	D:/Snokido/WebLFG%20(UBG100)/rsms.me/inter/font-files/Inter-Light3535.woff2	(from https://rsms.me/inter/inter.css)
